"","x"
"100_g_at",0.0200432811992606
"1000_at",-0.37687887350487
"1001_at",0.313528877461357
"1002_f_at",0.23368661110036
"1003_s_at",0.0796532929204314
"1004_at",0.081784450016972
"1005_at",-0.622965454880727
"1006_at",0.343216797436432
"1007_s_at",-0.453579336300799
"1008_f_at",-0.308866311487478
"1009_at",-0.021252820644456
"101_at",-0.149529004073552
"1010_at",0.20039334220128
"1011_s_at",-0.368644344386541
"1012_at",-0.13656738303825
"1013_at",-0.500994910494813
"1014_at",0.119290912894041
"1015_s_at",0.0304329786294524
"1016_s_at",0.346940987661078
"1017_at",0.562464925457178
"1018_at",-0.00203034417904924
"1019_g_at",0.0362571290464269
"102_at",-0.0114766913119633
"1020_s_at",0.278946208715883
"1021_at",0.396590839695927
"1022_f_at",0.273055225953495
"1023_at",-0.0327341066504907
"1024_at",0.135959612394998
"1025_g_at",-0.202165804578803
"1026_s_at",0.0195458936612543
"1027_at",0.219329025412533
"1028_at",0.021893647804486
"1029_s_at",0.312061190970157
"103_at",0.182433311423003
"1030_s_at",-0.0908166137894888
"1031_at",0.648090857573731
"1032_at",-0.19240957011375
"1033_g_at",0.184047743975367
"1034_at",-1.09228016101178
"1035_g_at",-1.12219806518208
"1036_at",-0.382976088215924
"1037_at",-0.0167468807647433
"1038_s_at",-0.679419074827317
"1039_s_at",-2.25571704418826
"104_at",0.29909155256555
"1040_s_at",-0.396981793712745
"1041_at",0.0786512745842973
"1042_at",-0.0397269887201959
"1043_s_at",0.0309080042452674
"1044_s_at",-0.133547754874357
"1045_s_at",-0.0932080622923603
"1046_at",-0.139378802077521
"1047_s_at",-0.827872327408679
"1048_at",0.286743247634234
"1049_g_at",-0.0567146082164731
"105_at",0.182948090907291
"1050_at",-0.711146102048174
"1051_g_at",-0.632141011092279
"1052_s_at",-1.45662320980944
"1053_at",0.72654640706488
"1054_at",0.662441642272787
"1055_g_at",0.91138376931642
"1056_s_at",0.409589811290294
"1057_at",-1.40528040305553
"1058_at",-0.476421809924623
"1059_at",0.189084165450103
"106_at",-0.232651368827805
"1060_g_at",0.140417312485265
"1061_at",0.0564717552635035
"1062_g_at",0.155029260397519
"1063_s_at",0.0749573298724187
"1064_at",-1.83225993192484
"1065_at",0.281058814531648
"1066_at",0.337492542427667
"1067_at",0.0972645787557198
"1068_g_at",0.0822363418428029
"1069_at",-1.08342102676752
"107_at",-0.029161726309928
"1070_at",0.212383374313213
"1071_at",0.492056366671316
"1072_g_at",0.792542473721989
"1073_at",0.503473601094118
"1074_at",-0.212753770581473
"1075_f_at",0.100613019684602
"1076_at",0.423871173160976
"1077_at",-0.363502731334417
"1078_at",-0.135491098401802
"1079_g_at",-0.181036427316251
"108_g_at",-0.004430553641809
"1080_s_at",0.212962351499607
"1081_at",0.670737028901051
"1082_at",-0.190662746334515
"1083_s_at",-0.178022900541566
"1084_at",0.224029850993604
"1085_s_at",-0.229395725830855
"1086_at",0.0570688852924022
"1087_at",0.597288783165012
"1088_at",-0.400660397800074
"1089_i_at",0.401520114927903
"109_at",0.651561235280408
"1090_f_at",0.672295265334665
"1091_at",0.0190002021206261
"1092_at",-0.0278347329501489
"1093_at",0.1885921841882
"1094_g_at",-0.0849378554490983
"1095_s_at",-0.311465310669477
"1096_g_at",0.217951457331701
"1097_s_at",0.175998449633199
"1098_at",0.179255137918965
"1099_s_at",-0.351539757750974
"110_at",-0.130160103890662
"1100_at",0.587333403610053
"1101_at",-0.252040647940452
"1102_s_at",-0.609558325536143
"1103_at",-1.2220921543754
"1104_s_at",1.62206731874021
"1105_s_at",-3.43110265474678
"1106_s_at",-0.0637039330953275
"1107_s_at",0.045142342019143
"1108_s_at",-0.303319054303248
"1109_s_at",0.00987046023508853
"111_at",0.278698791180268
"1110_at",0.288755603320027
"1111_at",-0.212698266938132
"1112_g_at",-0.0047402240579304
"1113_at",-0.26969109681846
"1114_at",-0.424223435251792
"1115_at",0.313016376959418
"1116_at",0.341178857594342
"1117_at",-0.116088364167457
"1118_at",-0.0621419410546551
"1119_at",0.67875405656614
"112_g_at",0.16204621375957
"1120_at",-0.491008635128561
"1121_g_at",-0.300280347294153
"1122_f_at",0.226233256858542
"1123_at",0.123556714826985
"1124_at",-0.0408132892598285
"1125_s_at",-0.918669297829928
"1126_s_at",-4.38428362325337
"1127_at",0.237363074375811
"1128_s_at",-0.175692484641042
"1129_at",0.396484629976992
"113_i_at",0.341497713451446
"1130_at",-0.155450019574337
"1131_at",0.147075862966599
"1132_s_at",0.010438738179201
"1133_at",0.0671671004814911
"1134_at",-0.0602259710738071
"1135_at",-0.512533354235558
"1136_at",0.251643704515519
"1137_at",-0.311639085741902
"1138_at",0.12405912248553
"1139_at",-0.820834585867466
"114_r_at",0.562589287294275
"1140_at",-0.134154019505392
"1141_at",0.146907660564187
"1142_at",0.290374642890034
"1143_s_at",-0.0222764099806847
"1144_at",0.218664867297597
"1145_g_at",0.0773044359915502
"1146_at",0.0700890464605521
"1147_at",-1.77830972269531
"1148_s_at",-0.099430343062842
"1149_at",0.1444034597937
"115_at",-0.43690241299781
"1150_at",-0.0740395981267992
"1151_at",0.309439362393253
"1152_i_at",0.631436302465447
"1153_f_at",0.0320444288736024
"1154_at",0.586209306276302
"1155_at",-0.100990897879513
"1156_at",-0.0252902863507671
"1157_s_at",0.0124714131126691
"1158_s_at",-0.121347670939453
"1159_at",-0.0614209082977824
"116_at",0.0176206583818415
"1160_at",0.711698948575487
"1161_at",0.233063081242996
"1162_g_at",0.55651761010558
"1163_at",0.354611430298991
"1164_at",-0.195838204128957
"1165_at",0.23327866783427
"1166_at",0.20780051120841
"1167_s_at",0.0134923342930069
"1168_at",0.20352106180002
"1169_at",0.127336143508048
"117_at",0.319934568186931
"1170_at",-0.0291375086780095
"1171_s_at",0.133460385414916
"1172_at",0.20791165541154
"1173_g_at",-0.727314642206945
"1174_at",0.191104999494721
"1175_s_at",0.164667931574604
"1176_at",0.0251598231913324
"1177_at",-0.110555817860899
"1178_at",0.646530153609188
"1179_at",0.154959182528474
"118_at",0.638368668719936
"1180_g_at",0.0248557942579932
"1181_at",0.28513266159376
"1182_at",0.483632958644435
"1183_at",0.176130996732124
"1184_at",-0.46744331119908
"1185_at",-0.0410077743277037
"1186_at",-0.103285401363231
"1187_at",0.126136968237427
"1188_g_at",0.320952440436649
"1189_at",0.132593515747465
"1190_at",0.222477743664049
"1191_s_at",0.514925217363984
"1192_at",0.270376899054998
"1193_at",0.0489015984392704
"1194_g_at",-0.098560176652037
"1195_s_at",-0.1483698243008
"1196_at",0.259797340363868
"1197_at",-0.521250225744994
